,open,high,low,Volume USD,compound,positive,negative,neutral,polarity,subjectivity,price_change
478,333.91,333.91,325.46,122360.184328526,0.9956,0.055,0.021,0.924,0.16935082113653543,0.49460506424792144,0.0
479,323.39,333.51,323.2,116140.66009750922,0.9964,0.063,0.028,0.908,0.16099607939230579,0.46238735059489766,1.0
480,315.62,323.49,314.69,87672.63952430831,0.9996,0.109,0.035,0.856,0.1749155464418622,0.5327684742158424,1.0
481,315.41,316.61,314.32,23843.2536830352,0.9982,0.101,0.039,0.86,0.12474937343358393,0.39097744360902253,1.0
482,318.06,318.43,312.75,92345.35024770693,0.9992,0.112,0.025,0.863,0.16905483405483404,0.43584377610693403,0.0
483,318.18,319.74,318.12,57249.555451902,0.9991,0.13,0.075,0.795,0.08939419108023758,0.4310716802577268,0.0
484,325.69,326.52,318.47,77007.19924640858,0.9995,0.137,0.039,0.824,0.1278771369873065,0.4955068236847897,0.0
485,330.44,330.44,327.03,81935.838148332,0.9986,0.107,0.06,0.832,0.13347839741957393,0.395128427128427,0.0
486,332.76,333.12,330.59,32585.2656403,0.9999,0.162,0.036,0.802,0.1657940287226002,0.4771538170823883,0.0
487,334.28,335.45,333.09,60263.695572212004,0.9991,0.087,0.031,0.881,0.26741115849324804,0.5261922530206112,0.0
488,337.46,339.13,334.6,87279.918184844,0.9993,0.121,0.053,0.826,0.1735794801012192,0.5043765815504948,0.0
584,344.76,344.76,340.81,18010.2723775597,0.9996,0.102,0.029,0.869,0.19963497868670285,0.5194045545769682,0.0
585,344.9,345.34,343.99,45026.709293191605,0.999,0.083,0.03,0.888,0.15643814381438145,0.441651343705799,1.0
586,346.02,346.22,345.13,56114.564490225996,0.991,0.058,0.038,0.904,0.10656878306878308,0.47386419753086423,0.0
587,347.15,348.78,346.48,45097.5086435475,0.9997,0.118,0.052,0.83,0.13015564959385192,0.44716361042203745,0.0
588,346.84,347.87,345.89,51817.5689430142,0.9947,0.061,0.041,0.898,0.15493648216862502,0.45942073799216665,1.0
589,347.61,348.64,345.66,75462.6194902595,0.9998,0.119,0.038,0.843,0.2287350054525627,0.5147116200169636,0.0
590,346.22,346.22,346.2,2517.36562,0.9998,0.128,0.04,0.832,0.24820274170274165,0.5011374458874457,1.0
591,344.58,346.33,344.31,25140.7127100507,0.9999,0.11,0.027,0.863,0.31707987869004817,0.48148508388974487,1.0
592,345.15,345.58,344.6,35822.132746926014,0.9999,0.142,0.044,0.814,0.16585391963109358,0.5693658636049937,0.0
593,345.05,345.05,343.82,59752.5763540329,0.9998,0.143,0.069,0.788,0.1394569836293974,0.49142981539533265,0.0
594,345.17,345.47,344.65,62859.631311976795,0.9987,0.077,0.027,0.895,0.2263710183849073,0.5046974373363262,1.0
595,343.41,345.5,343.41,26533.628933195,0.9993,0.078,0.028,0.894,0.12958760537707903,0.41096785524417095,1.0
596,343.54,343.87,343.32,38123.079607926,0.9998,0.114,0.018,0.868,0.23318158119253016,0.4329376928829483,0.0
597,340.76,340.96,340.76,1076.75168,0.9989,0.087,0.019,0.894,0.28589181286549703,0.4748538011695906,1.0
598,344.26,344.26,341.12,29172.2542826516,0.9858,0.059,0.038,0.903,0.08977883675464322,0.4341650956570312,0.0
599,344.01,344.82,344.01,26700.5651895664,0.9885,0.047,0.014,0.939,0.13691360382536855,0.4145930594460008,1.0
600,343.56,344.81,343.56,30835.968966147597,0.9958,0.072,0.036,0.892,0.11756565656565655,0.3770367965367965,1.0
601,342.66,343.54,342.65,5454.775042944,0.9981,0.094,0.042,0.864,0.06714265672599004,0.37614638447971777,1.0
602,341.81,343.58,341.81,147066.5077912735,0.9957,0.076,0.044,0.88,0.10975378787878785,0.3375801282051282,1.0
603,340.51,341.77,339.95,11256.3551239282,0.9991,0.096,0.055,0.849,0.08160323853361828,0.39448613622664264,1.0
604,341.48,341.49,339.83,152314.511297529,0.8346,0.055,0.049,0.895,0.06855914355914354,0.42668626418626415,0.0
605,342.13,342.62,341.31,29262.273903532798,0.9184,0.171,0.0,0.829,0.4621212121212121,0.638888888888889,0.0
632,341.53,344.15,340.09,55385.38359239201,0.9977,0.071,0.024,0.905,0.13018751176359872,0.4372955486542443,1.0
633,338.27,341.57,338.27,30533.148530959,0.9868,0.068,0.052,0.88,0.10938852813852813,0.46563208616780055,1.0
634,334.9,341.69,334.79,41699.8071858004,0.9997,0.125,0.063,0.812,0.15604264529796444,0.5118064382426086,1.0
635,335.0,336.02,333.5,38019.7671715035,0.9999,0.164,0.046,0.79,0.1795430495430496,0.4463083213083211,0.0
636,336.23,337.41,335.59,30382.1074176254,0.9842,0.053,0.035,0.912,0.11591771754815232,0.4122584541062802,0.0
637,336.43,336.91,335.25,37916.464446442005,0.9989,0.096,0.027,0.877,0.18166551226551228,0.41261904761904766,0.0
638,335.99,337.14,334.71,113198.645131221,0.997,0.078,0.036,0.886,0.08715763403263403,0.43782432844932856,1.0
639,338.17,338.35,335.84,118142.63094064599,1.0,0.197,0.028,0.774,0.14654455158946184,0.4240482455003411,0.0
640,340.24,341.63,338.07,70482.6907898098,0.9972,0.082,0.046,0.872,0.1620947871572872,0.4499003427128427,0.0
641,339.23,341.05,336.27,74454.416335364,0.9965,0.071,0.03,0.898,0.17414219303423842,0.43187905844155855,1.0
642,343.29,343.29,338.19,25993.060364882997,0.9997,0.115,0.037,0.848,0.10377049322832453,0.42133486326257413,0.0
643,342.13,343.84,342.02,25955.661311227203,0.999,0.078,0.035,0.887,0.07946842373312964,0.4185224089635854,1.0
644,344.29,344.74,341.64,107295.3508947492,0.9985,0.083,0.044,0.873,0.19943456138768637,0.4887781084656084,0.0
645,339.74,344.73,339.61,71280.72140114401,0.9979,0.053,0.022,0.924,0.12584380673090348,0.4282491433297885,1.0
646,337.68,339.94,336.86,157161.7523421747,0.9988,0.087,0.028,0.885,0.1467727627563693,0.48208430913348954,1.0
647,335.99,337.02,335.89,16382.8549603121,0.9971,0.067,0.025,0.908,0.12983920841063698,0.4317271352985638,1.0
648,337.45,339.61,335.0,47267.747269497995,0.9903,0.057,0.035,0.909,0.0714592352092352,0.3886273448773449,0.0
649,336.88,338.76,336.88,17675.434168545802,0.9903,0.066,0.049,0.885,0.18508562515915455,0.4505657944996181,1.0
650,337.34,339.35,336.96,35030.290262198396,0.9952,0.057,0.02,0.922,0.11930500658761527,0.4025000000000001,0.0
651,336.79,338.05,336.35,57045.422605918204,0.9985,0.123,0.079,0.798,0.12994442494442493,0.4487001287001287,1.0
652,334.52,335.85,333.41,98670.28050567082,0.9983,0.071,0.026,0.904,0.13659116987430242,0.43601549053356276,1.0
653,333.4,335.2,333.01,33618.256946562404,0.9972,0.096,0.053,0.851,0.17054280045351478,0.43538123582766436,1.0
654,336.78,338.0,332.65,75955.72181730799,0.9967,0.084,0.038,0.878,0.1768840187590188,0.43344246031746037,0.0
655,334.93,337.33,333.77,60110.42222196001,0.9898,0.07,0.051,0.879,0.13038844038844039,0.47123712998712997,1.0
680,337.76,339.74,335.48,262153.249524243,0.9992,0.096,0.054,0.85,0.2250491792158459,0.43251763668430326,0.0
681,332.51,339.45,332.37,87788.60774805759,0.9991,0.092,0.054,0.854,0.14405955816670107,0.4502921218992649,1.0
682,333.74,334.06,330.03,55293.8903147148,0.9996,0.092,0.038,0.871,0.15600672055217513,0.4055683710229164,0.0
683,323.23,334.56,322.46,218668.6325289832,0.9996,0.089,0.045,0.865,0.20780792183334562,0.4629114200300641,1.0
684,320.7,326.89,320.7,210017.66285392738,0.9996,0.096,0.05,0.854,0.20096805896805905,0.4527659997659996,1.0
685,306.65,324.59,306.65,1041143.9355588672,0.9998,0.105,0.047,0.848,0.2006739487902279,0.44673893548312144,1.0
686,307.88,308.16,305.6,42689.105929402,0.9993,0.106,0.072,0.822,0.17726956649269737,0.4369724447411363,0.0
687,307.75,308.3,306.77,70585.5985121667,0.9992,0.08,0.047,0.874,0.15572922847034526,0.44631831366602914,1.0
688,305.84,307.28,304.89,90828.86269132279,0.9993,0.082,0.055,0.863,0.12977937704896236,0.4206226850466481,1.0
689,304.18,306.2,303.83,24407.384459914,0.9996,0.083,0.043,0.874,0.17562416104567266,0.424033440719487,1.0
690,306.96,307.33,304.47,42393.0394533681,0.9997,0.092,0.041,0.866,0.18261761386761388,0.40528351278351277,0.0
691,305.73,306.6,305.14,35179.25404135,0.9999,0.117,0.041,0.842,0.18904374453066317,0.4386189230665973,1.0
692,304.15,305.14,303.0,25087.6498775232,0.9997,0.084,0.027,0.89,0.1650771795114861,0.4609405578201201,1.0
693,304.18,305.07,303.48,81877.0030746245,0.9958,0.081,0.042,0.878,0.3183858425525093,0.47906966490299824,0.0
694,303.55,304.65,303.55,22285.345042956298,0.9996,0.099,0.031,0.871,0.25926431805742145,0.5071351445489377,1.0
695,302.45,303.72,301.22,65012.943413167195,0.9953,0.053,0.017,0.929,0.25853910344041925,0.4356722772841195,1.0
696,305.72,306.31,302.69,52545.313968462986,0.9661,0.08,0.022,0.898,0.18438961038961038,0.38254870129870133,0.0
