unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1649602800,2022-04-10 15:00:00,BTC/USD,42712.57,42793.38,42654.09,42766.70,18.39048474,786500.343730158
1649599200,2022-04-10 14:00:00,BTC/USD,42595.76,42768.58,42562.43,42712.57,36.81951882,1572656.2749655673
1649595600,2022-04-10 13:00:00,BTC/USD,42617.45,42685.16,42551.15,42590.84,6.72633558,286480.28247408714
1649592000,2022-04-10 12:00:00,BTC/USD,42711.87,42871.90,42548.06,42617.46,28.97627074,1234895.0592111205
1649588400,2022-04-10 11:00:00,BTC/USD,42546.11,42733.97,42527.91,42711.17,11.26386549,481092.8738005233
1649584800,2022-04-10 10:00:00,BTC/USD,42543.93,42582.61,42452.28,42548.53,10.60505658,451229.5680458274
1649581200,2022-04-10 09:00:00,BTC/USD,42679.46,42679.46,42508.17,42538.93,11.89632076,506056.7560671868
1649577600,2022-04-10 08:00:00,BTC/USD,42646.95,42733.57,42587.51,42666.93,10.79092101,460415.4713691993
1649574000,2022-04-10 07:00:00,BTC/USD,42785.94,42790.79,42588.76,42651.88,20.01706542,853765.4722459896
1649570400,2022-04-10 06:00:00,BTC/USD,42684.83,42806.29,42660.48,42798.99,10.72813019,459153.13672050805
1649566800,2022-04-10 05:00:00,BTC/USD,42741.50,42792.75,42654.54,42682.67,5.60709626,239325.83932381417
1649563200,2022-04-10 04:00:00,BTC/USD,42800.88,42807.19,42737.19,42755.82,8.27271174,353706.5740673268
1649559600,2022-04-10 03:00:00,BTC/USD,42845.38,42900.00,42776.38,42805.12,10.68282406,457279.5658271872
1649556000,2022-04-10 02:00:00,BTC/USD,42786.91,42891.52,42738.88,42845.38,32.55179926,1394694.2089784187
1649552400,2022-04-10 01:00:00,BTC/USD,42655.65,42801.20,42606.86,42783.98,8.02260047,343238.7780564706
1649548800,2022-04-10 00:00:00,BTC/USD,42774.85,42792.70,42621.75,42660.66,9.06513864,386724.79737390246
1649545200,2022-04-09 23:00:00,BTC/USD,42554.77,42807.63,42497.03,42767.89,26.23886850,1122181.041732465
1649541600,2022-04-09 22:00:00,BTC/USD,42583.57,42645.14,42519.18,42557.98,11.86483634,504943.4676609932
1649538000,2022-04-09 21:00:00,BTC/USD,42417.68,42607.74,42406.80,42583.58,33.31046690,1418478.932073502
1649534400,2022-04-09 20:00:00,BTC/USD,42549.99,42655.46,42417.68,42417.68,32.64863561,1384879.3777415848
1649530800,2022-04-09 19:00:00,BTC/USD,42475.50,42615.03,42475.22,42532.37,11.41155188,485360.3468343556
1649527200,2022-04-09 18:00:00,BTC/USD,42600.34,42650.34,42470.06,42498.62,13.29869002,565175.9736577724
1649523600,2022-04-09 17:00:00,BTC/USD,42457.41,42641.11,42443.41,42601.64,15.93123037,678696.5409798068
1649520000,2022-04-09 16:00:00,BTC/USD,42249.44,42543.74,42200.00,42475.31,21.74359960,923566.133525876
1649516400,2022-04-09 15:00:00,BTC/USD,42481.10,42488.01,42208.88,42244.05,15.32143809,647239.5967458645
1649512800,2022-04-09 14:00:00,BTC/USD,42475.82,42512.62,42375.35,42473.92,7.14863454,303630.5315611968
1649509200,2022-04-09 13:00:00,BTC/USD,42516.83,42529.02,42457.05,42478.71,6.70238355,284708.6071292205
1649505600,2022-04-09 12:00:00,BTC/USD,42464.91,42533.04,42402.79,42509.90,12.81218624,544644.755843776
1649502000,2022-04-09 11:00:00,BTC/USD,42500.00,42553.22,42440.61,42464.15,13.07385615,555170.1886320225
1649498400,2022-04-09 10:00:00,BTC/USD,42459.60,42497.52,42336.61,42481.52,16.97639692,721183.1452849183
1649494800,2022-04-09 09:00:00,BTC/USD,42483.62,42499.16,42400.53,42460.41,16.27395756,690998.9103201997
1649491200,2022-04-09 08:00:00,BTC/USD,42494.68,42527.33,42377.02,42477.62,9.74706872,414032.28120204643
1649487600,2022-04-09 07:00:00,BTC/USD,42468.72,42524.73,42368.88,42496.15,14.38252723,611202.0345451646
1649484000,2022-04-09 06:00:00,BTC/USD,42619.48,42619.48,42417.32,42450.68,24.66205262,1046920.9039147816
