unix,date,symbol,open,high,low,close,Volume ETH,Volume USD
1649430000,2022-04-08 15:00:00,ETH/USD,3292.09,3309.03,3276.29,3283.81,344.92771911,1132677.093290609
1649426400,2022-04-08 14:00:00,ETH/USD,3227.77,3305.34,3227.77,3290.19,414.68743695,1364400.4581785204
1649422800,2022-04-08 13:00:00,ETH/USD,3240.70,3240.80,3212.23,3227.77,315.41829563,1018097.7120856451
1649419200,2022-04-08 12:00:00,ETH/USD,3258.26,3270.18,3227.73,3237.84,278.88804213,902994.8583301991
1649415600,2022-04-08 11:00:00,ETH/USD,3286.53,3286.53,3256.50,3258.47,301.49442993,982410.5550940072
1649412000,2022-04-08 10:00:00,ETH/USD,3292.98,3292.98,3273.14,3286.66,172.16908915,565861.258545739
1649408400,2022-04-08 09:00:00,ETH/USD,3292.59,3302.44,3280.21,3288.58,161.14645685,529943.0150677729
1649404800,2022-04-08 08:00:00,ETH/USD,3287.77,3314.13,3284.68,3294.29,961.95501521,3168958.787056151
1649401200,2022-04-08 07:00:00,ETH/USD,3266.90,3287.08,3246.35,3287.08,213.13813971,700602.1162779467
1649397600,2022-04-08 06:00:00,ETH/USD,3271.99,3272.26,3251.43,3267.21,221.56627045,723903.5344769445
1649394000,2022-04-08 05:00:00,ETH/USD,3258.88,3275.58,3250.00,3271.78,187.17891413,612408.2276722515
1649390400,2022-04-08 04:00:00,ETH/USD,3268.13,3274.63,3251.72,3258.88,104.05098224,339089.6650022912
1649386800,2022-04-08 03:00:00,ETH/USD,3261.33,3270.50,3254.89,3268.13,82.07283663,268224.6995756019
1649383200,2022-04-08 02:00:00,ETH/USD,3248.08,3275.90,3243.93,3260.60,986.61687638,3216962.987124628
1649379600,2022-04-08 01:00:00,ETH/USD,3218.87,3256.97,3218.02,3249.77,114.35913518,371640.88673390856
1649376000,2022-04-08 00:00:00,ETH/USD,3227.17,3244.86,3217.43,3220.23,389.51956009,1254342.5729886207
1649372400,2022-04-07 23:00:00,ETH/USD,3234.92,3260.66,3228.53,3229.91,69.57972175,224736.2390775425
1649368800,2022-04-07 22:00:00,ETH/USD,3221.05,3237.14,3215.91,3237.14,68.25269751,220943.5372175214
1649365200,2022-04-07 21:00:00,ETH/USD,3243.94,3244.00,3197.87,3218.63,71.72279684,230849.14559312921
