unix,date,symbol,open,high,low,close,Volume BCH,Volume USD
1649192400,2022-04-05 21:00:00,BCH/USD,368.17,369.12,366.91,369.12,61.25357781,22609.9206412272
1649188800,2022-04-05 20:00:00,BCH/USD,370.13,371.16,366.86,367.72,153.30222999,56372.2960119228
1649185200,2022-04-05 19:00:00,BCH/USD,369.33,371.49,368.05,370.07,137.16295720,50759.895571003995
1649181600,2022-04-05 18:00:00,BCH/USD,371.75,372.23,371.41,371.56,867.82489739,322449.0188742284
1649178000,2022-04-05 17:00:00,BCH/USD,372.32,373.80,370.91,371.08,178.39861358,66200.15752726639
1649174400,2022-04-05 16:00:00,BCH/USD,369.26,371.94,369.16,371.94,95.89628039,35667.6625282566
1649170800,2022-04-05 15:00:00,BCH/USD,371.91,374.78,370.24,370.80,162.97682530,60431.80682124
1649167200,2022-04-05 14:00:00,BCH/USD,372.22,372.47,369.06,371.91,294.97087099,109702.6166298909
1649163600,2022-04-05 13:00:00,BCH/USD,378.40,378.42,372.39,372.41,219.57042763,81770.22295368831
1649160000,2022-04-05 12:00:00,BCH/USD,378.29,382.06,377.45,377.74,298.22699062,112652.26343679879
1649156400,2022-04-05 11:00:00,BCH/USD,377.90,378.53,377.60,378.13,34.51988676,13053.0047805588
1649152800,2022-04-05 10:00:00,BCH/USD,375.95,378.12,375.73,377.82,195.80347999,73978.4708098218
1649149200,2022-04-05 09:00:00,BCH/USD,377.22,378.83,376.27,376.28,91.41765478,34398.6351406184
1649145600,2022-04-05 08:00:00,BCH/USD,379.88,380.20,376.98,377.04,156.93090308,59169.227697283204
1649142000,2022-04-05 07:00:00,BCH/USD,374.20,379.56,374.20,379.56,142.63822175,54139.76344743001
1649138400,2022-04-05 06:00:00,BCH/USD,377.15,377.31,374.25,374.25,59.81835180,22387.01816115
1649134800,2022-04-05 05:00:00,BCH/USD,377.90,378.18,376.54,376.63,68.19392165,25683.8767110395
1649131200,2022-04-05 04:00:00,BCH/USD,377.36,377.52,376.77,377.42,20.76174132,7835.8964089944
1649127600,2022-04-05 03:00:00,BCH/USD,376.26,376.26,375.14,376.12,35.89607555,13501.231935866
1649124000,2022-04-05 02:00:00,BCH/USD,375.58,375.76,375.13,375.13,62.03046175,23269.4871162775
1649120400,2022-04-05 01:00:00,BCH/USD,372.55,375.57,372.55,375.57,147.96935047,55572.8489560179
