https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ADA,Volume USD
1649404800,2022-04-08 08:00:00,ADA/USD,1.09159,1.09439,1.09159,1.09439,9771.08819923,10693.381214355319
1649401200,2022-04-08 07:00:00,ADA/USD,1.08777,1.08777,1.08777,1.08777,0.00000000,0.0
1649397600,2022-04-08 06:00:00,ADA/USD,1.09085,1.09085,1.08777,1.08777,499.14994188,542.9603322788075
1649394000,2022-04-08 05:00:00,ADA/USD,1.09206,1.09744,1.09206,1.09744,1007.20417513,1105.3461499546672
1649390400,2022-04-08 04:00:00,ADA/USD,1.09128,1.09205,1.09128,1.09205,10000.00000000,10920.5
1649386800,2022-04-08 03:00:00,ADA/USD,1.09335,1.09335,1.09335,1.09335,815.83284086,891.990836554281
1649383200,2022-04-08 02:00:00,ADA/USD,1.09323,1.09324,1.09323,1.09324,3265.65561904,3570.1453489592895
1649379600,2022-04-08 01:00:00,ADA/USD,1.08411,1.08582,1.08411,1.08582,7353.06811237,7984.108417773593
1649376000,2022-04-08 00:00:00,ADA/USD,1.09059,1.09059,1.09059,1.09059,0.00000000,0.0
1649372400,2022-04-07 23:00:00,ADA/USD,1.09203,1.10000,1.09059,1.09059,4856.60476723,5296.564593093365
1649368800,2022-04-07 22:00:00,ADA/USD,1.08558,1.08558,1.08558,1.08558,29.83320600,32.38633176948
1649365200,2022-04-07 21:00:00,ADA/USD,1.08175,1.08175,1.07841,1.07841,1432.26817798,1544.572325815412
1649361600,2022-04-07 20:00:00,ADA/USD,1.08294,1.08432,1.08294,1.08432,6295.09130393,6825.893402677378
1649358000,2022-04-07 19:00:00,ADA/USD,1.09279,1.09592,1.08173,1.08173,5472.56915692,5919.842234115072
1649354400,2022-04-07 18:00:00,ADA/USD,1.08300,1.08300,1.08300,1.08300,12010.01890359,13006.85047258797
1649350800,2022-04-07 17:00:00,ADA/USD,1.08835,1.08835,1.08835,1.08835,183.32443607,199.5211499967845
1649347200,2022-04-07 16:00:00,ADA/USD,1.08050,1.08307,1.08050,1.08307,1448.82494927,1569.1788378058588
1649343600,2022-04-07 15:00:00,ADA/USD,1.07367,1.07400,1.07005,1.07027,14524.74205148,15545.3956754375
1649340000,2022-04-07 14:00:00,ADA/USD,1.07777,1.07777,1.07777,1.07777,1385.52006354,1493.2719588815055
1649336400,2022-04-07 13:00:00,ADA/USD,1.07758,1.07758,1.07758,1.07758,57.66105624,62.1344009830992
1649332800,2022-04-07 12:00:00,ADA/USD,1.09200,1.09557,1.08748,1.08816,9818.61280000,10684.221704448
1649329200,2022-04-07 11:00:00,ADA/USD,1.07733,1.09441,1.07733,1.09441,3726.29867260,4078.0985302801664
1649325600,2022-04-07 10:00:00,ADA/USD,1.07500,1.07500,1.07500,1.07500,0.00000000,0.0
1649322000,2022-04-07 09:00:00,ADA/USD,1.08114,1.08114,1.07500,1.07500,4370.15768675,4697.91951325625
1649318400,2022-04-07 08:00:00,ADA/USD,1.09018,1.09018,1.09018,1.09018,0.00000000,0.0
1649314800,2022-04-07 07:00:00,ADA/USD,1.07511,1.09030,1.07511,1.09018,8664.17823116,9445.513824046007
1649311200,2022-04-07 06:00:00,ADA/USD,1.07657,1.07657,1.07657,1.07657,1416.07245021,1524.5011177225797
1649307600,2022-04-07 05:00:00,ADA/USD,1.06940,1.06940,1.06019,1.06019,1601.63190608,1698.034130506955
1649304000,2022-04-07 04:00:00,ADA/USD,1.06146,1.06995,1.06146,1.06995,460.78360109,493.01541398624545
1649300400,2022-04-07 03:00:00,ADA/USD,1.05407,1.05407,1.05407,1.05407,0.00000000,0.0
1649296800,2022-04-07 02:00:00,ADA/USD,1.05518,1.05518,1.05407,1.05407,2002.39760000,2110.6672382320003
1649293200,2022-04-07 01:00:00,ADA/USD,1.05433,1.06027,1.04537,1.06027,7760.55485942,8228.283500797244
1649289600,2022-04-07 00:00:00,ADA/USD,1.06000,1.06000,1.04500,1.04500,8263.29741670,8635.145800451499
