unix,date,symbol,open,high,low,close,Volume AAVE,Volume USD
1649671200,2022-04-11 10:00:00,AAVE/USD,164.11,165.89,163.61,164.86,201.54543470,33226.780364642
1649667600,2022-04-11 09:00:00,AAVE/USD,170.30,170.30,164.40,164.40,443.92571114,72981.386911416
1649664000,2022-04-11 08:00:00,AAVE/USD,170.85,170.85,170.55,170.55,2.82301319,481.46489955450005
1649660400,2022-04-11 07:00:00,AAVE/USD,171.67,172.90,171.67,172.90,22.61950324,3910.912110196
1649656800,2022-04-11 06:00:00,AAVE/USD,172.06,172.06,171.79,171.79,15.22311721,2615.1793055058997
1649653200,2022-04-11 05:00:00,AAVE/USD,173.07,174.24,172.80,173.38,112.24246671,19460.5988781798
1649649600,2022-04-11 04:00:00,AAVE/USD,173.40,173.95,173.18,173.95,29.85010119,5192.4251020004995
1649646000,2022-04-11 03:00:00,AAVE/USD,171.20,173.44,171.20,173.44,20.29315302,3519.6444597888
1649642400,2022-04-11 02:00:00,AAVE/USD,173.84,173.84,172.47,172.53,2.69964634,465.76998304020003
1649638800,2022-04-11 01:00:00,AAVE/USD,175.93,177.79,175.93,176.43,12.46178639,2198.6329727877
1649635200,2022-04-11 00:00:00,AAVE/USD,176.53,176.64,174.53,175.45,183.01337510,32109.696661294995
1649631600,2022-04-10 23:00:00,AAVE/USD,179.11,179.11,175.01,176.46,45.97304956,8112.4043253576
1649628000,2022-04-10 22:00:00,AAVE/USD,180.48,180.81,180.05,180.81,332.68298067,60152.4097349427
1649624400,2022-04-10 21:00:00,AAVE/USD,187.77,188.46,187.77,188.46,7.45957372,1405.8312632712
1649620800,2022-04-10 20:00:00,AAVE/USD,187.82,188.29,187.18,188.29,43.55737311,8201.4177828819
1649617200,2022-04-10 19:00:00,AAVE/USD,187.35,187.35,187.35,187.35,0.00000000,0.0
1649613600,2022-04-10 18:00:00,AAVE/USD,185.52,187.35,185.52,187.35,282.12812046,52856.703368181
1649610000,2022-04-10 17:00:00,AAVE/USD,183.03,183.44,183.03,183.44,20.77055638,3810.1508623471996
1649606400,2022-04-10 16:00:00,AAVE/USD,181.20,181.83,181.20,181.83,26.27306010,4777.230517983
1649602800,2022-04-10 15:00:00,AAVE/USD,180.63,180.71,180.63,180.71,9.84371578,1778.8578786038001
1649599200,2022-04-10 14:00:00,AAVE/USD,178.88,179.97,178.88,179.97,32.48021193,5845.4637410421
1649595600,2022-04-10 13:00:00,AAVE/USD,178.08,178.08,178.08,178.08,0.00000000,0.0
1649592000,2022-04-10 12:00:00,AAVE/USD,179.27,179.49,178.08,178.08,130.41558418,23224.407230774403
1649588400,2022-04-10 11:00:00,AAVE/USD,178.34,178.34,178.34,178.34,0.00000000,0.0
1649584800,2022-04-10 10:00:00,AAVE/USD,178.34,178.34,178.34,178.34,21.30883000,3800.2167422
1649581200,2022-04-10 09:00:00,AAVE/USD,179.25,179.25,179.25,179.25,7.88980836,1414.24814853
